50.0001 1.82726 7.99119 5703 29.6175 23.4567 -0.0107743
51 1.84508 8.05887 5523 30.0624 23.9879 -0.0115433
52.0001 1.86063 8.12612 5358 30.5372 24.5031 -0.0101186
53.0001 1.88148 8.18985 5185 31.0444 25.119 -0.0131852
54 1.89569 8.25201 5041 31.4437 25.7078 -0.00712982
55 1.90807 8.31289 4906 31.9677 26.4516 -0.0148802
56 1.91967 8.37173 4779 32.4854 27.1258 -0.0158744
57.0001 1.92721 8.42754 4670 32.8739 27.6687 -0.00965887
58.0001 1.94184 8.48069 4550 33.2257 28.1096 -0.00508109
59.0001 1.95344 8.53181 4443 33.6274 28.5661 -0.00744945
60 1.96076 8.58047 4349 34.0718 29.1799 -0.0104313
61 1.96416 8.62827 4266 34.4621 29.636 -0.00654828
62.0002 1.97343 8.67579 4171 34.877 30.0602 -0.0108697
63 1.98642 8.72554 4070 35.3259 30.612 -0.0137007
64 2.00091 8.77276 3971 35.7708 31.288 -0.0105563
65.0001 2.00884 8.83164 3888 36.2558 32.0536 -0.0152775
66.0001 2.02706 8.89911 3787 36.7234 32.7384 -0.0135187
67.0001 2.03956 8.96572 3701 37.167 33.5057 -0.0124844
68.0001 2.04892 9.03208 3625 37.5319 34.1726 -0.00738034
69.0001 2.04998 9.0975 3567 37.8514 34.7606 -0.00580731
70 2.06808 9.16133 3480 38.2253 35.3494 -0.00839794
71 2.0758 9.2256 3414 38.6194 35.9652 -0.00963613
72.0001 2.08747 9.29036 3343 39.0105 36.5814 -0.00973151
73.0001 2.10099 9.3531 3273 39.3273 36.98 -0.00634207
74 2.12227 9.41444 3193 39.729 37.6868 -0.012165
75.0001 2.12397 9.47489 3147 40.0551 38.1742 -0.00645247
76.0001 2.14025 9.53379 3079 40.4885 38.8026 -0.00950437
77.0001 2.15511 9.59313 3016 40.8808 39.3186 -0.0061317
78.0001 2.16226 9.65329 2968 41.1879 39.9184 -0.00336133
79 2.16412 9.71348 2929 41.4666 40.3512 -0.00249176
80.0001 2.16626 9.77314 2890 41.8073 40.7264 -0.00704764
81 2.179 9.83059 2836 42.1812 41.0301 -0.00748121
82.0001 2.18784 9.88661 2789 42.52 41.5552 -0.00620587
